epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.261,1.64063,1.38281,1.05839,0.42728,0.30185,0.27306,0.14381,1.77427,1.4452,1.0795,0.000369215,0.000369215,0.000369215
2,382.985,1.47109,0.90428,0.99553,0.48961,0.31406,0.32379,0.17759,1.813,1.55445,1.10721,0.000724905,0.000724905,0.000724905
3,563.453,1.44137,0.84589,0.98476,0.48761,0.27933,0.30377,0.16277,1.84727,1.5939,1.11698,0.00106593,0.00106593,0.00106593
4,844.417,1.4105,0.80397,0.97722,0.50361,0.30999,0.32328,0.16722,1.92003,1.45763,1.13857,0.00104501,0.00104501,0.00104501
5,1171.13,1.36472,0.76423,0.96479,0.50294,0.37027,0.38859,0.21072,1.76682,1.40561,1.06049,0.00102301,0.00102301,0.00102301
6,1413.1,1.33422,0.73375,0.95142,0.48108,0.38639,0.36612,0.19944,1.76829,1.37752,1.07428,0.00100101,0.00100101,0.00100101
7,1681.78,1.31206,0.71207,0.94809,0.50302,0.34325,0.35837,0.19658,1.74915,1.55752,1.07329,0.000979013,0.000979013,0.000979013
8,1961.8,1.29292,0.69539,0.9449,0.4995,0.38907,0.40479,0.21809,1.70099,1.31505,1.04227,0.000957015,0.000957015,0.000957015
9,2244.79,1.26792,0.67699,0.93845,0.49779,0.35682,0.36832,0.19767,1.74731,1.3101,1.07015,0.000935018,0.000935018,0.000935018
10,2513.69,1.25149,0.66185,0.93471,0.4874,0.3663,0.36909,0.20652,1.78422,1.31294,1.06695,0.00091302,0.00091302,0.00091302
11,2776.84,1.24194,0.6492,0.92923,0.5164,0.37631,0.3796,0.20532,1.78945,1.44839,1.07138,0.000891022,0.000891022,0.000891022
12,3051.25,1.22485,0.63997,0.92744,0.63511,0.37321,0.42302,0.2399,1.7219,1.34653,1.04708,0.000869024,0.000869024,0.000869024
13,3312.51,1.21245,0.63011,0.92217,0.60053,0.36207,0.41242,0.23177,1.74703,1.36154,1.05615,0.000847026,0.000847026,0.000847026
14,3581.51,1.20686,0.62556,0.923,0.54388,0.40677,0.41628,0.22754,1.80718,1.28304,1.08194,0.000825029,0.000825029,0.000825029
15,3850.84,1.20182,0.61935,0.92068,0.63301,0.35177,0.4029,0.22421,1.76341,1.34613,1.07866,0.000803031,0.000803031,0.000803031
16,4120.41,1.18533,0.60794,0.91724,0.64232,0.36207,0.41693,0.23671,1.75692,1.30677,1.07212,0.000781033,0.000781033,0.000781033
17,4388.94,1.17819,0.60094,0.91447,0.62246,0.36256,0.41553,0.23488,1.71399,1.37562,1.05163,0.000759035,0.000759035,0.000759035
18,4648.61,1.16953,0.59468,0.91378,0.54327,0.37624,0.38207,0.21164,1.79805,1.32196,1.07695,0.000737037,0.000737037,0.000737037
19,4913.23,1.16386,0.58927,0.91304,0.58875,0.37778,0.40502,0.22556,1.80345,1.25765,1.078,0.00071504,0.00071504,0.00071504
20,5169.08,1.15385,0.58623,0.90955,0.5824,0.35039,0.40921,0.23177,1.72878,1.32361,1.06484,0.000693042,0.000693042,0.000693042
21,5424.9,1.15194,0.58106,0.90879,0.58049,0.38125,0.41993,0.23978,1.67538,1.36458,1.03405,0.000671044,0.000671044,0.000671044
22,5676.29,1.13272,0.56951,0.90464,0.61039,0.36555,0.41921,0.23655,1.68487,1.24345,1.04775,0.000649046,0.000649046,0.000649046
23,5927.63,1.13053,0.56649,0.90352,0.59013,0.38295,0.42928,0.24392,1.67173,1.24405,1.04711,0.000627048,0.000627048,0.000627048
24,6171.99,1.12434,0.56396,0.90201,0.65036,0.36192,0.4011,0.21888,1.75874,1.34697,1.06275,0.000605051,0.000605051,0.000605051
25,6416.45,1.1254,0.56299,0.90173,0.49257,0.40015,0.41147,0.21945,1.78053,1.3495,1.06082,0.000583053,0.000583053,0.000583053
